created_at,entry_id,field1,latitude,longitude,elevation,status
2025-12-03T13:33:53+00:00,1,841,,,,
2025-12-03T13:34:10+00:00,2,834,,,,
2025-12-03T13:34:49+00:00,3,822,,,,
2025-12-03T13:35:16+00:00,4,807,,,,
2025-12-03T13:36:14+00:00,5,784,,,,
2025-12-03T13:36:58+00:00,6,765,,,,
2025-12-03T13:37:44+00:00,7,738,,,,
2025-12-03T13:38:03+00:00,8,726,,,,
2025-12-03T13:38:20+00:00,9,716,,,,
2025-12-03T13:39:04+00:00,10,690,,,,
2025-12-03T13:39:41+00:00,11,673,,,,
2025-12-03T13:39:58+00:00,12,665,,,,
2025-12-03T13:40:14+00:00,13,658,,,,
2025-12-03T13:41:17+00:00,14,636,,,,
2025-12-03T13:41:58+00:00,15,639,,,,
2025-12-03T13:42:33+00:00,16,608,,,,
2025-12-03T13:42:55+00:00,17,602,,,,
2025-12-03T13:43:15+00:00,18,590,,,,
2025-12-03T13:43:41+00:00,19,596,,,,
2025-12-03T13:44:59+00:00,20,569,,,,
2025-12-03T13:45:24+00:00,21,710,,,,
2025-12-03T13:46:16+00:00,22,550,,,,
2025-12-03T13:47:03+00:00,23,540,,,,
2025-12-03T13:47:22+00:00,24,544,,,,
2025-12-03T13:47:46+00:00,25,533,,,,
2025-12-03T13:48:23+00:00,26,525,,,,
2025-12-03T13:48:54+00:00,27,528,,,,
2025-12-03T13:49:36+00:00,28,536,,,,
2025-12-03T13:50:10+00:00,29,532,,,,
2025-12-03T13:50:26+00:00,30,535,,,,
2025-12-03T13:53:11+00:00,31,624,,,,
2025-12-03T13:53:28+00:00,32,860,,,,
2025-12-03T13:53:53+00:00,33,812,,,,
2025-12-03T13:54:20+00:00,34,816,,,,
2025-12-03T13:55:02+00:00,35,826,,,,
2025-12-03T13:55:28+00:00,36,685,,,,
2025-12-03T13:56:07+00:00,37,562,,,,
2025-12-03T13:56:27+00:00,38,536,,,,
2025-12-03T13:56:58+00:00,39,504,,,,
2025-12-03T13:57:17+00:00,40,499,,,,
2025-12-03T13:57:36+00:00,41,531,,,,
2025-12-03T13:57:54+00:00,42,465,,,,
2025-12-03T13:58:19+00:00,43,456,,,,
2025-12-03T13:58:43+00:00,44,446,,,,
2025-12-03T14:01:31+00:00,45,427,,,,
2025-12-03T14:01:48+00:00,46,426,,,,
2025-12-03T14:02:11+00:00,47,424,,,,
2025-12-03T14:02:33+00:00,48,416,,,,
2025-12-03T14:03:08+00:00,49,420,,,,
2025-12-03T14:03:25+00:00,50,406,,,,
2025-12-03T14:03:54+00:00,51,403,,,,
2025-12-03T14:04:16+00:00,52,414,,,,
2025-12-03T14:05:38+00:00,53,396,,,,
2025-12-03T14:06:13+00:00,54,394,,,,
2025-12-03T14:06:34+00:00,55,393,,,,
2025-12-03T14:06:53+00:00,56,391,,,,
2025-12-03T14:07:10+00:00,57,393,,,,
2025-12-03T14:07:27+00:00,58,387,,,,
2025-12-03T14:07:49+00:00,59,384,,,,
2025-12-03T14:08:44+00:00,60,384,,,,
2025-12-03T14:09:00+00:00,61,382,,,,
2025-12-03T14:09:19+00:00,62,379,,,,
2025-12-03T14:09:42+00:00,63,377,,,,
2025-12-03T14:10:04+00:00,64,377,,,,
2025-12-03T14:10:50+00:00,65,369,,,,
2025-12-03T14:11:06+00:00,66,375,,,,
2025-12-03T14:11:23+00:00,67,439,,,,
2025-12-03T14:11:40+00:00,68,396,,,,
2025-12-03T14:11:56+00:00,69,382,,,,
2025-12-03T14:12:43+00:00,70,373,,,,
2025-12-03T14:13:39+00:00,71,361,,,,
2025-12-03T14:14:01+00:00,72,365,,,,
2025-12-03T14:14:29+00:00,73,363,,,,
2025-12-03T14:15:03+00:00,74,361,,,,
2025-12-03T14:15:22+00:00,75,362,,,,
2025-12-03T14:15:39+00:00,76,361,,,,
2025-12-03T14:16:06+00:00,77,360,,,,
2025-12-03T14:16:25+00:00,78,354,,,,
2025-12-03T14:16:44+00:00,79,358,,,,
2025-12-03T14:17:04+00:00,80,358,,,,
2025-12-03T14:17:35+00:00,81,353,,,,
2025-12-03T14:17:51+00:00,82,357,,,,
2025-12-03T14:18:16+00:00,83,351,,,,
2025-12-03T14:18:53+00:00,84,353,,,,
2025-12-03T14:19:26+00:00,85,351,,,,
2025-12-03T14:19:53+00:00,86,352,,,,
2025-12-03T14:20:21+00:00,87,348,,,,
2025-12-03T14:20:54+00:00,88,352,,,,
2025-12-03T14:21:20+00:00,89,345,,,,
2025-12-03T14:21:42+00:00,90,350,,,,
